id,latitude,longitude,destino_nome,peso,prazo
44,-15.85,-48.03,"Águas Lindas de Goiás",230.2,14
45,-22.68,-47.64,"Limeira",340.0,10
46,-15.34,-44.44,"Montes Claros",270.5,13
47,-2.53,-44.21,"São José de Ribamar",260.0,20
48,-7.87,-35.03,"Caruaru",300.0,16
49,-13.01,-38.53,"Lauro de Freitas",280.0,16
50,-1.99,-45.16,"Santarém",420.0,23
51,-21.79,-43.36,"Juiz de Fora",510.4,11
52,-22.32,-49.06,"Marília",270.2,10
53,-23.69,-46.55,"Santo André",450.0,8
54,-23.72,-46.54,"São Bernardo do Campo",510.0,8
55,-23.65,-46.71,"Taboão da Serra",300.0,8
56,-3.06,-59.96,"Iranduba",180.0,25
57,-6.76,-43.02,"Floriano",220.0,21
58,-22.33,-45.06,"Pouso Alegre",260.0,11
59,-22.89,-48.44,"Jaú",280.0,10
60,-14.86,-40.84,"Vitória da Conquista",370.0,16
61,-7.49,-46.04,"Balsas",230.0,21
62,-5.53,-47.48,"Imperatriz",360.0,20
63,-21.79,-48.18,"Araraquara",410.0,10
64,-17.30,-53.20,"Jataí",270.0,15
65,-0.04,-51.07,"Macapá",370.0,25
66,-11.08,-37.19,"Nossa Senhora do Socorro",260.0,19
67,-21.10,-49.70,"Penápolis",230.0,10
68,-3.77,-49.67,"Marabá",410.0,23
69,-22.31,-54.81,"Dourados",330.0,22
70,-10.43,-39.33,"Serrinha",210.0,16
71,-18.92,-48.28,"Uberlândia",490.0,12
72,-21.56,-45.44,"Varginha",270.0,11
73,-3.31,-60.62,"Manacapuru",190.0,25
74,-23.18,-53.18,"Umuarama",250.0,14
75,-16.72,-43.86,"Janaúba",220.0,13
76,-5.12,-38.37,"Russas",260.0,19
77,-7.16,-48.07,"Guaraí",240.0,20
78,-15.45,-55.73,"Chapada dos Guimarães",200.0,24
79,-9.67,-67.53,"Bujari",170.0,30
80,-2.53,-47.50,"Paragominas",350.0,23
81,-5.83,-35.21,"Natal",530.0,17
82,-25.09,-50.16,"Ponta Grossa",380.0,12
83,-2.52,-47.49,"Rondon do Pará",290.0,23
84,-21.13,-42.71,"Cataguases",250.0,11
85,-23.53,-46.80,"Carapicuíba",320.0,8
86,-25.43,-54.59,"Foz do Iguaçu",430.0,15
87,-4.85,-43.36,"Caxias",280.0,20
88,-17.73,-48.17,"Caldas Novas",310.0,14
89,-19.45,-44.25,"Sete Lagoas",380.0,12
90,-15.20,-39.29,"Ilhéus",350.0,16
91,-22.96,-42.03,"Cabo Frio",290.0,11
92,-18.46,-49.22,"Itumbiara",260.0,13
93,-22.15,-51.39,"Presidente Prudente",320.0,12
94,-7.58,-72.67,"Cruzeiro do Sul",210.0,30
95,-29.16,-51.18,"Bento Gonçalves",290.0,18
96,-23.17,-49.65,"Piraju",230.0,10
97,-1.73,-55.87,"Juruti",260.0,23
98,-16.20,-47.49,"Formosa",270.0,14
99,-23.64,-45.42,"Caraguatatuba",310.0,10
100,-17.32,-56.78,"Poconé",250.0,24
101,-19.48,-42.53,"Ipatinga",370.0,12
102,-21.80,-46.57,"Poços de Caldas",340.0,11
103,-22.51,-44.10,"Resende",310.0,11
104,-6.77,-51.00,"Tucumã",230.0,23
105,-16.46,-39.07,"Porto Seguro",390.0,16
106,-7.02,-35.63,"Guarabira",240.0,17
107,-7.23,-39.31,"Juazeiro do Norte",380.0,19
108,-4.36,-38.88,"Quixadá",260.0,19
109,-22.39,-47.56,"Araras",300.0,10
110,-1.02,-46.77,"Viseu",210.0,23
111,-20.51,-55.79,"Aquidauana",260.0,22
112,-13.25,-43.42,"Bom Jesus da Lapa",240.0,16
113,-22.25,-53.81,"Naviraí",230.0,22
114,-3.84,-32.42,"Fernando de Noronha",130.0,30
115,-4.97,-39.02,"Limoeiro do Norte",240.0,19
116,-18.16,-45.23,"Três Marias",250.0,12
117,-21.95,-47.01,"Descalvado",270.0,10
118,-6.47,-37.09,"Mossoró",380.0,17
119,-29.69,-53.81,"Santa Maria",340.0,18
120,-10.90,-61.91,"Cacoal",280.0,26
121,-13.66,-69.66,"Assis Brasil",190.0,30
122,-2.64,-42.77,"Parnaíba",320.0,20
123,-28.26,-52.41,"Passo Fundo",350.0,18
124,-18.91,-41.95,"Governador Valadares",410.0,12
125,-27.10,-52.62,"Chapecó",380.0,15
126,-18.73,-39.86,"São Mateus",300.0,14
127,-3.03,-47.35,"Tomé-Açu",240.0,23
128,-16.35,-45.00,"Januária",230.0,13
129,-22.27,-48.56,"Pederneiras",250.0,10
130,-10.49,-38.95,"Paulo Afonso",290.0,17
131,-10.82,-65.33,"Ariquemes",270.0,26
132,-18.74,-46.61,"Patos de Minas",320.0,12
133,-4.22,-56.00,"Itaituba",360.0,23
134,-28.68,-49.37,"Criciúma",330.0,15
135,-17.80,-50.93,"Rio Verde",360.0,14
136,-23.66,-53.80,"Umuarama",270.0,14
137,-23.03,-47.11,"Americana",360.0,9
138,-22.99,-44.84,"Volta Redonda",340.0,11
139,-14.79,-39.17,"Itabuna",350.0,16
140,-15.13,-39.53,"Itacaré",270.0,16
141,-26.88,-52.40,"Xanxerê",260.0,15
142,-9.11,-42.09,"São Raimundo Nonato",230.0,21
143,-26.48,-49.07,"Joinville",410.0,14
144,-21.83,-45.14,"Itajubá",280.0,11
145,-9.39,-38.22,"Piranhas",220.0,18
146,-16.75,-43.86,"Montes Claros",350.0,13
147,-6.95,-38.56,"Cajazeiras",240.0,18
148,-20.85,-51.35,"Três Lagoas",320.0,13
149,-24.09,-52.62,"Goioerê",240.0,14
150,-26.30,-48.84,"São Francisco do Sul",290.0,14
151,-16.19,-47.95,"Luziânia",280.0,14
152,-17.32,-44.92,"Bocaiúva",240.0,13
153,-23.60,-46.63,"Diadema",380.0,8
154,-21.60,-45.97,"Alfenas",270.0,11
155,-20.25,-49.97,"Fernandópolis",250.0,10
156,-7.21,-39.40,"Crato",310.0,19
157,-29.16,-56.55,"Uruguaiana",320.0,18
158,-19.53,-40.62,"Colatina",340.0,14
159,-4.36,-45.62,"Grajaú",260.0,20
160,-24.72,-51.76,"Guarapuava",320.0,13
161,-19.70,-51.63,"Paranaíba",260.0,13
162,-3.18,-52.20,"Altamira",380.0,23
163,-20.37,-46.31,"Passos",290.0,11
164,-19.11,-41.70,"Caratinga",270.0,12
165,-10.22,-59.34,"Juína",240.0,25
166,-7.96,-38.30,"Serra Talhada",270.0,17
167,-22.20,-51.36,"Presidente Prudente",350.0,12
168,-23.46,-47.36,"Salto",290.0,9
169,-5.08,-42.78,"Teresina",520.0,21
170,-25.49,-48.83,"Paranaguá",300.0,12
171,-22.63,-50.41,"Assis",280.0,10
